Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ū gorwak,u górū ḗdesăsmă;,and a cow (in that place),,conflict between two groups:01:46.3,0:01.4,1:46.3,1:47.6,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_463-01_476].wav,64671183-1
na manīre uhu maṭraḥma.,nī mắnde ŭhŭ dḗsăsmă,they did not stay in that place,,conflict between two groups:01:36.6,0:03.7,1:36.6,1:40.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_366-01_403].wav,27022878-1
aratin mardēn dbīḥak,Márdēn ărátōs bákrak. ,We slaughtered a sheep that night,,conflict between two groups:00:24.8,0:01.9,0:24.8,0:26.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_248-00_267].wav,35869883-1
pardēni wāšīman taran qar ū goryak.,Gắre wăšī́imăn ū́dēsăstă tắrăn ḳăr u yḗḡrăk.,There went with us to that land three donkeys and a horse.,,conflict between two groups:00:03.7,0:03.8,0:03.7,0:07.6,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_037-00_076].wav,17178431-1
ṭēssan ɣarama,Tírde ătsántă ,They fined them,,conflict between two groups:00:56.1,0:01.8,0:56.1,0:57.9,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_561-00_579].wav,23743414-1
ēre nkīman dōme,"Ắrʕ ŭnkī́imăn Dōmḗni,","There came to us the Dom,",,conflict between two groups:00:26.7,0:01.6,0:26.7,0:28.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_267-00_283].wav,30657789-1
kildēn drūzanka.,Kíldēn xū́rkălăntă. ,We went out to the Druzes,,conflict between two groups:00:09.8,0:01.3,0:09.8,0:11.1,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_098-00_111].wav,61500346-1
"kān nkīman di dbīḥēk,","ŭnkī́iman dī báhrek,",We had two sheep,,conflict between two groups:00:59.2,0:01.7,0:59.2,1:00.9,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_592-01_009].wav,73862785-1
parde qarāibēm ū gare;,părdḗndsăn u gắre;,they took them [i.e. my relatives] and went;,,conflict between two groups:00:47.5,0:01.8,0:47.5,0:49.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_475-00_493].wav,32999181-1
nērda pašīsan taran tmālēk,pḗndă ăbsánkă tắrăn gōrándelă,sent to them three horsemen,,conflict between two groups:01:19.7,0:01.8,1:19.7,1:21.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_197-01_215].wav,88685729-1
taman danānīr.,štar u štar imhī́lă,eight majī́dis. ,,conflict between two groups:00:57.9,0:01.4,0:57.9,0:59.2,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_579-00_592].wav,96059053-1
eme garīrēn maṭraḥomanka.,"u ắmeʔ mī́ndēn ḥălḗmăn, răwáḥrēm dḗsimintă.",and we betook ourselves and went to our own place.,,conflict between two groups:01:40.3,0:01.8,1:40.3,1:42.2,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_403-01_422].wav,92390977-1
bāyom gara qādyaske,"Mī́nde ḥálǒs bó͡iōm, gắră tíllă-tmaliéskă ","My father (betook himself), went to the governor",,conflict between two groups:01:18.1,0:01.6,1:18.1,1:19.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_181-01_197].wav,47740498-1
manīrēn ihi ūyarma warsak.,Wḗsrēn ū́dēsămă wársăk.,We stayed in that land a year.,,conflict between two groups:00:07.6,0:02.2,0:07.6,0:09.8,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_076-00_098].wav,35272728-1
sabaḥtan kildēn garēn dēyanka.,"Săbáḥtăn rá͡urdēn, gắrēn dēíntă. ",In the morning we departed and went to the villages.,,conflict between two groups:01:02.5,0:05.1,1:02.5,1:07.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_025-01_075].wav,27705693-1
bāyom pandasma šrīkada gorwik bi xamsa qrūš,Bó͡iōm pándăsmă impắr gṓriăk bi-nī́m sa͡i imhī́lă ,My father on the way brought a mare for fifty majī́dis,,conflict between two groups:01:42.2,0:04.1,1:42.2,1:46.3,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_422-01_463].wav,42223705-1
ama ū bāyom ū māmim putre.,ắmă u bó͡iōm i má͡umum-potre. ,I and my father and my uncles sons. ,,conflict between two groups:00:01.5,0:02.2,0:01.5,0:03.7,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_015-00_037].wav,94391422-1
dōme li fērēnsan nasre.,Ehe Dṓme ílli fērensăn nắsre,The Dom whom we had beaten fled,,conflict between two groups:01:07.5,0:02.9,1:07.5,1:10.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[01_075-01_105].wav,80637602-1
lagiškadēn wāšīsan bagidēn siryēsan;,"Fḗrēn ắme, bắgirdēn siriḗsăn;","We struck, broke their heads;",,conflict between two groups:00:42.6,0:02.9,0:42.6,0:45.5,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_426-00_455].wav,04132541-1
tirde bāyim ū māmim putran sidžinma.,tírde bó͡iōm u má͡umum-pitrăn pēwindémmă.,they put my father and my uncle's sons in fetters. ,,conflict between two groups:00:49.3,0:03.1,0:49.3,0:52.4,conflict between two groups.wav,conflict between two groups.eaf,conflict between two groups[00_493-00_524].wav,66510996-1
