Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ḥākim lakedosan.,lăherdōssăn tíllă-tmáli,the governor saw them,,quarrel_complete_orthography_changed:00:14.6,0:01.7,0:14.6,0:16.3,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_146-00_163].wav,59907011-1
širda absanke:,círda:,he said:,,quarrel_complete_orthography_changed:00:16.3,0:01.3,0:16.3,0:17.6,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_163-00_176].wav,06075818-1
"kadže lagiškade wāšīman.""","Hădóttă, lágiš-kerde wašīmăn ŭhŭ-kắjje.""","there, those gentiles made a quarrel with us.""",,quarrel_complete_orthography_changed:00:55.7,0:01.5,0:55.7,0:57.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_557-00_572].wav,40033396-1
ere ehe tmaliye lahad iza ašti wāšīman ple.,lăherdḗndmăn ehe tmálie tă-láhănd wášmăn ple. ,the soldiers saw us to see if we had money with us. ,,quarrel_complete_orthography_changed:00:23.1,0:02.7,0:23.1,0:25.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_231-00_258].wav,66121904-1
pandžan qaftinnēni.,"""Hé ḳautḗni.""",They are thieves,,quarrel_complete_orthography_changed:00:36.9,0:02.3,0:36.9,0:39.3,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_369-00_393].wav,43153479-1
ērēn paransan.,gărḗni ăbsínkă tă-n᷄anănsăn.,we went to them to fetch them.,,quarrel_complete_orthography_changed:00:21.8,0:01.2,0:21.8,0:23.1,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_218-00_231].wav,88688211-1
,Ắre tmáli',,,quarrel_complete_orthography_changed:01:01.4,0:01.8,1:01.4,1:03.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_014-01_032].wav,13815079-1
ū pardēsan ḥakmaske gēna xatrak.,părdḗndsăn u gắre minjtsăn tíllă-tmáliéstă.,and went with them to the governor. ,,quarrel_complete_orthography_changed:01:03.2,0:02.2,1:03.2,1:05.4,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[01_032-01_054].wav,40117348-1
širda ḥākim:,círda tílla-tmáli,the governor saidː,,quarrel_complete_orthography_changed:00:32.1,0:01.2,0:32.1,0:33.3,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_321-00_333].wav,03729771-1
nandēsan maḥkamēka.,u năndéndsăn paubăginyétă,and brought them to the courthouse,,quarrel_complete_orthography_changed:00:13.2,0:01.4,0:13.2,0:14.6,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_132-00_146].wav,29246787-1
gare ehe heyka qarā’ibēsanke. ,Răwắḥre ăhlisíntă.,They went to their people.,,quarrel_complete_orthography_changed:00:42.7,0:02.0,0:42.7,0:44.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_427-00_447].wav,21406966-1
širda ḥakím: pandžan mišš qaftinnēni.,"Círda tílla-tmáli ""'nhēʔ ḳauteni hrēndeʔ""","The governor said ""They are not thieves"".",,quarrel_complete_orthography_changed:00:39.3,0:02.4,0:39.3,0:41.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_393-00_417].wav,02081724-1
lagiškade.,Lágis-kerde ba'aḗsănsan. ,They quarrelled with one another.,,quarrel_complete_orthography_changed:00:58.6,0:01.1,0:58.6,0:59.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_586-00_597].wav,55933079-1
eme/ erēni paran qarā’ibēman.,gắrēn tă-nắnănd ḳaumḗmăn,we went to fetch our relatives,,quarrel_complete_orthography_changed:00:07.8,0:02.4,0:07.8,0:10.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_078-00_102].wav,45123442-1
ū qādī rawwaḥkirdosman,u tíllă-tmáli wárt-kerdōsmăn,and the governor loosed us,,quarrel_complete_orthography_changed:00:48.4,0:01.6,0:48.4,0:49.9,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_484-00_499].wav,44766086-1
lakede nhe’ wāšīman.,nī-lăherdeʔ wášmăn. ,they saw none with us.,,quarrel_complete_orthography_changed:00:25.8,0:00.9,0:25.8,0:26.7,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_258-00_267].wav,75253673-1
"""tmaliye mindēdman.","""Mīndḗndmăn tmálie","""The soldiers took us",,quarrel_complete_orthography_changed:00:45.9,0:01.3,0:45.9,0:47.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_459-00_472].wav,15225046-1
eme mišš qaftinnahrēni.,"Círde ""Ắmeʔ lau ḳauténi hrēniʔ""","they said ""we are not thieves""",,quarrel_complete_orthography_changed:00:06.0,0:01.8,0:06.0,0:07.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_060-00_078].wav,58254013-1
kēkē nandēs ehe maṭan ihnēna?,"""Kékătă nắnăssăn ắrăn?""",why did you bring these men here? ,,quarrel_complete_orthography_changed:00:33.3,0:02.5,0:33.3,0:35.8,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_333-00_358].wav,67132646-1
širda absanke:,Hắrăf-kerde ínni,They told how,,quarrel_complete_orthography_changed:00:44.7,0:01.1,0:44.7,0:45.9,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_447-00_459].wav,49398164-1
tmaliye pardēsan.,mīndḗndsǒn tmálie,the soldiers took them,,quarrel_complete_orthography_changed:00:10.2,0:02.0,0:10.2,0:12.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_102-00_122].wav,34784848-1
širde abuske:,círde ăbúskă,they said to him,,quarrel_complete_orthography_changed:00:18.5,0:01.7,0:18.5,0:20.2,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_185-00_202].wav,46432183-1
gare,gắre.,They went. ,,quarrel_complete_orthography_changed:00:02.2,0:00.8,0:02.2,0:03.0,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_022-00_030].wav,75584110-1
min krēn ērēs?,mikrán ārési ắtme?,from where have you come? ,,quarrel_complete_orthography_changed:00:17.6,0:00.9,0:17.6,0:18.5,quarrel_complete_orthography_changed.wav,quarrel_complete_orthography_changed.eaf,quarrel_complete_orthography_changed[00_176-00_185].wav,26466608-1
